branchName, Run2, Run3
#
Electron_cleanmask, ROOT::VecOps::RVec<UChar_t>, NOT AVAILABLE
Electron_dEscaleDown, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_dEscaleUp, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_dEsigmaDown, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_dEsigmaUp, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_eCorr, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_mvaFall17V2Iso, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_mvaFall17V2Iso_WP80, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
Electron_mvaFall17V2Iso_WP90, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
Electron_mvaFall17V2Iso_WPL, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
Electron_mvaFall17V2noIso, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_mvaFall17V2noIso_WP80, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
Electron_mvaFall17V2noIso_WP90, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
Electron_mvaFall17V2noIso_WPL, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
#
FatJet_btagCSVV2, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTagMD_H4qvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTagMD_HbbvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTagMD_TvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTagMD_WvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTagMD_ZHbbvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTagMD_ZHccvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTagMD_ZbbvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTagMD_ZvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTagMD_bbvsLight, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTagMD_ccvsLight, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTag_H, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTag_QCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTag_QCDothers, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTag_TvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTag_WvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_deepTag_ZvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_particleNetMD_QCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_particleNetMD_Xbb, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_particleNetMD_Xcc, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_particleNetMD_Xqq, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_particleNet_H4qvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_particleNet_HbbvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_particleNet_HccvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_particleNet_TvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_particleNet_WvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_particleNet_ZvsQCD, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
FatJet_particleNet_mass, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
#
Jet_bRegCorr, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Jet_bRegRes, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Jet_btagCSVV2, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Jet_btagDeepB, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Jet_btagDeepCvB, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Jet_btagDeepCvL, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Jet_cRegCorr, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Jet_cRegRes, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Jet_chFPV0EF, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Jet_cleanmask, ROOT::VecOps::RVec<UChar_t>, NOT AVAILABLE
Jet_puId, ROOT::VecOps::RVec<Int_t>, NOT AVAILABLE
Jet_puIdDisc, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Jet_qgl, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
#
L1PreFiringWeight_Dn, Float_t, NOT AVAILABLE
L1PreFiringWeight_ECAL_Dn, Float_t, NOT AVAILABLE
L1PreFiringWeight_ECAL_Nom, Float_t, NOT AVAILABLE
L1PreFiringWeight_ECAL_Up, Float_t, NOT AVAILABLE
L1PreFiringWeight_Muon_Nom, Float_t, NOT AVAILABLE
L1PreFiringWeight_Muon_StatDn, Float_t, NOT AVAILABLE
L1PreFiringWeight_Muon_StatUp, Float_t, NOT AVAILABLE
