branchName, type_Run2
CaloMET_phi, Float_t
CaloMET_pt, Float_t
CaloMET_sumEt, Float_t
ChsMET_phi, Float_t
ChsMET_pt, Float_t
ChsMET_sumEt, Float_t
CorrT1METJet_area, ROOT::VecOps::RVec<Float_t>
CorrT1METJet_eta, ROOT::VecOps::RVec<Float_t>
CorrT1METJet_muonSubtrFactor, ROOT::VecOps::RVec<Float_t>
CorrT1METJet_phi, ROOT::VecOps::RVec<Float_t>
CorrT1METJet_rawPt, ROOT::VecOps::RVec<Float_t>
DeepMETResolutionTune_phi, Float_t
DeepMETResolutionTune_pt, Float_t
DeepMETResponseTune_phi, Float_t
DeepMETResponseTune_pt, Float_t
Electron_charge, ROOT::VecOps::RVec<Int_t>
Electron_cleanmask, ROOT::VecOps::RVec<UChar_t>
Electron_convVeto, ROOT::VecOps::RVec<Bool_t>
Electron_cutBased, ROOT::VecOps::RVec<Int_t>
Electron_cutBased_HEEP, ROOT::VecOps::RVec<Bool_t>
Electron_dEscaleDown, ROOT::VecOps::RVec<Float_t>
Electron_dEscaleUp, ROOT::VecOps::RVec<Float_t>
Electron_dEsigmaDown, ROOT::VecOps::RVec<Float_t>
Electron_dEsigmaUp, ROOT::VecOps::RVec<Float_t>
Electron_deltaEtaSC, ROOT::VecOps::RVec<Float_t>
Electron_dr03EcalRecHitSumEt, ROOT::VecOps::RVec<Float_t>
Electron_dr03HcalDepth1TowerSumEt, ROOT::VecOps::RVec<Float_t>
Electron_dr03TkSumPt, ROOT::VecOps::RVec<Float_t>
Electron_dr03TkSumPtHEEP, ROOT::VecOps::RVec<Float_t>
Electron_dxy, ROOT::VecOps::RVec<Float_t>
Electron_dxyErr, ROOT::VecOps::RVec<Float_t>
Electron_dz, ROOT::VecOps::RVec<Float_t>
Electron_dzErr, ROOT::VecOps::RVec<Float_t>
Electron_eCorr, ROOT::VecOps::RVec<Float_t>
Electron_eInvMinusPInv, ROOT::VecOps::RVec<Float_t>
Electron_energyErr, ROOT::VecOps::RVec<Float_t>
Electron_eta, ROOT::VecOps::RVec<Float_t>
Electron_genPartFlav, ROOT::VecOps::RVec<UChar_t>
Electron_genPartIdx, ROOT::VecOps::RVec<Int_t>
Electron_hoe, ROOT::VecOps::RVec<Float_t>
Electron_ip3d, ROOT::VecOps::RVec<Float_t>
Electron_isPFcand, ROOT::VecOps::RVec<Bool_t>
Electron_jetIdx, ROOT::VecOps::RVec<Int_t>
Electron_jetNDauCharged, ROOT::VecOps::RVec<UChar_t>
Electron_jetPtRelv2, ROOT::VecOps::RVec<Float_t>
Electron_jetRelIso, ROOT::VecOps::RVec<Float_t>
Electron_lostHits, ROOT::VecOps::RVec<UChar_t>
Electron_mass, ROOT::VecOps::RVec<Float_t>
Electron_miniPFRelIso_all, ROOT::VecOps::RVec<Float_t>
Electron_miniPFRelIso_chg, ROOT::VecOps::RVec<Float_t>
Electron_mvaFall17V2Iso, ROOT::VecOps::RVec<Float_t>
Electron_mvaFall17V2Iso_WP80, ROOT::VecOps::RVec<Bool_t>
Electron_mvaFall17V2Iso_WP90, ROOT::VecOps::RVec<Bool_t>
Electron_mvaFall17V2Iso_WPL, ROOT::VecOps::RVec<Bool_t>
Electron_mvaFall17V2noIso, ROOT::VecOps::RVec<Float_t>
Electron_mvaFall17V2noIso_WP80, ROOT::VecOps::RVec<Bool_t>
Electron_mvaFall17V2noIso_WP90, ROOT::VecOps::RVec<Bool_t>
Electron_mvaFall17V2noIso_WPL, ROOT::VecOps::RVec<Bool_t>
Electron_mvaTTH, ROOT::VecOps::RVec<Float_t>
Electron_pdgId, ROOT::VecOps::RVec<Int_t>
Electron_pfRelIso03_all, ROOT::VecOps::RVec<Float_t>
Electron_pfRelIso03_chg, ROOT::VecOps::RVec<Float_t>
Electron_phi, ROOT::VecOps::RVec<Float_t>
Electron_photonIdx, ROOT::VecOps::RVec<Int_t>
Electron_pt, ROOT::VecOps::RVec<Float_t>
Electron_r9, ROOT::VecOps::RVec<Float_t>
Electron_scEtOverPt, ROOT::VecOps::RVec<Float_t>
Electron_seedGain, ROOT::VecOps::RVec<UChar_t>
Electron_sieie, ROOT::VecOps::RVec<Float_t>
Electron_sip3d, ROOT::VecOps::RVec<Float_t>
Electron_tightCharge, ROOT::VecOps::RVec<Int_t>
Electron_vidNestedWPBitmap, ROOT::VecOps::RVec<Int_t>
Electron_vidNestedWPBitmapHEEP, ROOT::VecOps::RVec<Int_t>
FatJet_area, ROOT::VecOps::RVec<Float_t>
FatJet_btagCSVV2, ROOT::VecOps::RVec<Float_t>
FatJet_btagDDBvLV2, ROOT::VecOps::RVec<Float_t>
FatJet_btagDDCvBV2, ROOT::VecOps::RVec<Float_t>
FatJet_btagDDCvLV2, ROOT::VecOps::RVec<Float_t>
FatJet_btagDeepB, ROOT::VecOps::RVec<Float_t>
FatJet_btagHbb, ROOT::VecOps::RVec<Float_t>
FatJet_deepTagMD_H4qvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_deepTagMD_HbbvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_deepTagMD_TvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_deepTagMD_WvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_deepTagMD_ZHbbvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_deepTagMD_ZHccvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_deepTagMD_ZbbvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_deepTagMD_ZvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_deepTagMD_bbvsLight, ROOT::VecOps::RVec<Float_t>
FatJet_deepTagMD_ccvsLight, ROOT::VecOps::RVec<Float_t>
FatJet_deepTag_H, ROOT::VecOps::RVec<Float_t>
FatJet_deepTag_QCD, ROOT::VecOps::RVec<Float_t>
FatJet_deepTag_QCDothers, ROOT::VecOps::RVec<Float_t>
FatJet_deepTag_TvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_deepTag_WvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_deepTag_ZvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_electronIdx3SJ, ROOT::VecOps::RVec<Int_t>
FatJet_eta, ROOT::VecOps::RVec<Float_t>
FatJet_genJetAK8Idx, ROOT::VecOps::RVec<Int_t>
FatJet_hadronFlavour, ROOT::VecOps::RVec<Int_t>
FatJet_jetId, ROOT::VecOps::RVec<Int_t>
FatJet_lsf3, ROOT::VecOps::RVec<Float_t>
FatJet_mass, ROOT::VecOps::RVec<Float_t>
FatJet_msoftdrop, ROOT::VecOps::RVec<Float_t>
FatJet_muonIdx3SJ, ROOT::VecOps::RVec<Int_t>
FatJet_n2b1, ROOT::VecOps::RVec<Float_t>
FatJet_n3b1, ROOT::VecOps::RVec<Float_t>
FatJet_nBHadrons, ROOT::VecOps::RVec<UChar_t>
FatJet_nCHadrons, ROOT::VecOps::RVec<UChar_t>
FatJet_nConstituents, ROOT::VecOps::RVec<UChar_t>
FatJet_particleNetMD_QCD, ROOT::VecOps::RVec<Float_t>
FatJet_particleNetMD_Xbb, ROOT::VecOps::RVec<Float_t>
FatJet_particleNetMD_Xcc, ROOT::VecOps::RVec<Float_t>
FatJet_particleNetMD_Xqq, ROOT::VecOps::RVec<Float_t>
FatJet_particleNet_H4qvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_particleNet_HbbvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_particleNet_HccvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_particleNet_QCD, ROOT::VecOps::RVec<Float_t>
FatJet_particleNet_TvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_particleNet_WvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_particleNet_ZvsQCD, ROOT::VecOps::RVec<Float_t>
FatJet_particleNet_mass, ROOT::VecOps::RVec<Float_t>
FatJet_phi, ROOT::VecOps::RVec<Float_t>
FatJet_pt, ROOT::VecOps::RVec<Float_t>
FatJet_rawFactor, ROOT::VecOps::RVec<Float_t>
FatJet_subJetIdx1, ROOT::VecOps::RVec<Int_t>
FatJet_subJetIdx2, ROOT::VecOps::RVec<Int_t>
FatJet_tau1, ROOT::VecOps::RVec<Float_t>
FatJet_tau2, ROOT::VecOps::RVec<Float_t>
FatJet_tau3, ROOT::VecOps::RVec<Float_t>
FatJet_tau4, ROOT::VecOps::RVec<Float_t>
Flag_BadChargedCandidateFilter, Bool_t
Flag_BadChargedCandidateSummer16Filter, Bool_t
Flag_BadPFMuonDzFilter, Bool_t
Flag_BadPFMuonFilter, Bool_t
Flag_BadPFMuonSummer16Filter, Bool_t
Flag_CSCTightHalo2015Filter, Bool_t
Flag_CSCTightHaloFilter, Bool_t
Flag_CSCTightHaloTrkMuUnvetoFilter, Bool_t
Flag_EcalDeadCellBoundaryEnergyFilter, Bool_t
Flag_EcalDeadCellTriggerPrimitiveFilter, Bool_t
Flag_HBHENoiseFilter, Bool_t
Flag_HBHENoiseIsoFilter, Bool_t
Flag_HcalStripHaloFilter, Bool_t
Flag_METFilters, Bool_t
Flag_chargedHadronTrackResolutionFilter, Bool_t
Flag_ecalBadCalibFilter, Bool_t
Flag_ecalLaserCorrFilter, Bool_t
Flag_eeBadScFilter, Bool_t
Flag_globalSuperTightHalo2016Filter, Bool_t
Flag_globalTightHalo2016Filter, Bool_t
Flag_goodVertices, Bool_t
Flag_hcalLaserEventFilter, Bool_t
Flag_hfNoisyHitsFilter, Bool_t
Flag_muonBadTrackFilter, Bool_t
Flag_trkPOGFilters, Bool_t
Flag_trkPOG_logErrorTooManyClusters, Bool_t
Flag_trkPOG_manystripclus53X, Bool_t
Flag_trkPOG_toomanystripclus53X, Bool_t
FsrPhoton_dROverEt2, ROOT::VecOps::RVec<Float_t>
