branchName, type_Run2, type_Run3
CaloMET_phi, Float_t, Float_t
CaloMET_pt, Float_t, Float_t
CaloMET_sumEt, Float_t, Float_t
ChsMET_phi, Float_t, Float_t
ChsMET_pt, Float_t, Float_t
ChsMET_sumEt, Float_t, Float_t
CorrT1METJet_area, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
CorrT1METJet_eta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
CorrT1METJet_muonSubtrFactor, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
CorrT1METJet_phi, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
CorrT1METJet_rawPt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
DeepMETResolutionTune_phi, Float_t, Float_t
DeepMETResolutionTune_pt, Float_t, Float_t
DeepMETResponseTune_phi, Float_t, Float_t
DeepMETResponseTune_pt, Float_t, Float_t
Electron_charge, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Int_t>
Electron_cleanmask, ROOT::VecOps::RVec<UChar_t>, NOT AVAILABLE
Electron_convVeto, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Electron_cutBased, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
Electron_cutBased_HEEP, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Electron_dEscaleDown, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_dEscaleUp, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_dEsigmaDown, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_dEsigmaUp, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_deltaEtaSC, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_dr03EcalRecHitSumEt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_dr03HcalDepth1TowerSumEt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_dr03TkSumPt, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_dr03TkSumPtHEEP, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_dxy, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_dxyErr, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_dz, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_dzErr, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_eCorr, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_eInvMinusPInv, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_energyErr, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_eta, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_genPartFlav, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Electron_genPartIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Electron_hoe, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_ip3d, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_isPFcand, ROOT::VecOps::RVec<Bool_t>, ROOT::VecOps::RVec<Bool_t>
Electron_jetIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Electron_jetNDauCharged, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Electron_jetPtRelv2, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_jetRelIso, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_lostHits, ROOT::VecOps::RVec<UChar_t>, ROOT::VecOps::RVec<UChar_t>
Electron_mass, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_miniPFRelIso_all, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_miniPFRelIso_chg, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_mvaFall17V2Iso, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_mvaFall17V2Iso_WP80, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
Electron_mvaFall17V2Iso_WP90, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
Electron_mvaFall17V2Iso_WPL, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
Electron_mvaFall17V2noIso, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Electron_mvaFall17V2noIso_WP80, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
Electron_mvaFall17V2noIso_WP90, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
Electron_mvaFall17V2noIso_WPL, ROOT::VecOps::RVec<Bool_t>, NOT AVAILABLE
Electron_mvaTTH, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_pdgId, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Int_t>
Electron_pfRelIso03_all, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_pfRelIso03_chg, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
Electron_phi, ROOT::VecOps::RVec<Float_t>, ROOT::VecOps::RVec<Float_t>
