branchName, type_Run2, type_Run3
Electron_cutBased, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
Electron_genPartIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Electron_jetIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Electron_photonIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
Electron_tightCharge, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
FatJet_electronIdx3SJ, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
FatJet_genJetAK8Idx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
FatJet_hadronFlavour, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
FatJet_jetId, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
FatJet_muonIdx3SJ, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
FatJet_subJetIdx1, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
FatJet_subJetIdx2, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
FsrPhoton_muonIdx, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
GenJetAK8_partonFlavour, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
GenJet_partonFlavour, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
GenPart_genPartIdxMother, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
GenPart_statusFlags, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UShort_t>
GenVisTau_charge, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
GenVisTau_genPartIdxMother, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
GenVisTau_status, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<UChar_t>
IsoTrack_charge, ROOT::VecOps::RVec<Int_t>, ROOT::VecOps::RVec<Short_t>
